ID,Count
18288,505.4596907294814
18289,403.383277496438
18290,341.3864978295543
18291,282.07546680370194
18292,237.42377284194026
18293,212.53344011853602
18294,228.5311602846794
18295,265.03578395408164
18296,305.20524188950696
18297,394.3918581329856
18298,559.7944516980384
18299,620.6055496906209
18300,627.1806935208382
18301,554.6924275237716
18302,593.101327821598
18303,585.609975424875
18304,570.6632003791356
18305,583.9572070303941
18306,598.3291061128359
18307,634.8876244037974
18308,610.1050809235111
18309,569.4685362679068
18310,571.5344967610079
18311,558.0249116235132
18312,507.07682461474036
18313,404.67383494097896
18314,342.47870692898476
18315,282.97792016236673
18316,238.18337056114638
18317,213.21340537406473
18318,229.26230757478385
18319,265.88372169253864
18320,306.18169510164313
18321,395.6536490325459
18322,561.5854205788889
18323,622.5910735260351
18324,629.1872534311033
18325,556.4670733301477
18326,594.9988564914473
18327,587.4835367635417
18328,572.4889420066659
18329,585.8254806125409
18330,600.2433601864602
18331,636.9188413526172
18332,612.0570102623396
18333,571.290455767083
18334,573.363025955834
18335,559.8102191563505
18336,508.6939584999992
18337,405.9643923855199
18338,343.57091602841524
18339,283.8803735210315
18340,238.94296828035237
18341,213.89337062959342
18342,229.9934548648883
18343,266.73165943099553
18344,307.15814831377935
18345,396.9154399321063
18346,563.3763894597395
18347,624.5765973614491
18348,631.1938133413682
18349,558.2417191365238
18350,596.8963851612966
18351,589.3570981022085
18352,574.3146836341961
18353,587.6937541946877
18354,602.1576142600843
18355,638.9500583014369
18356,614.0089396011681
18357,573.1123752662593
18358,575.1915551506601
18359,561.5955266891879
18360,510.3110923852581
18361,407.2549498300608
18362,344.66312512784566
18363,284.78282687969636
18364,239.7025659995585
18365,214.5733358851221
18366,230.72460215499274
18367,267.57959716945254
18368,308.1346015259155
18369,398.17723083166675
18370,565.16735834059
18371,626.5621211968634
18372,633.2003732516332
18373,560.0163649428998
18374,598.793913831146
18375,591.2306594408752
18376,576.1404252617265
18377,589.5620277768346
18378,604.0718683337086
18379,640.9812752502568
18380,615.9608689399965
18381,574.9342947654354
18382,577.0200843454861
18383,563.3808342220252
18384,511.92822627051703
18385,408.54550727460173
18386,345.75533422727614
18387,285.68528023836114
18388,240.46216371876454
18389,215.25330114065082
18390,231.45574944509718
18391,268.42753490790943
18392,309.1110547380517
18393,399.4390217312271
18394,566.9583272214405
18395,628.5476450322774
18396,635.2069331618982
